"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"56,""7.457152"",""192.168.43.122"",""114.125.240.14"",""UDP"",""880"",""56769  >  443 Len=838"""
"57,""7.471939"",""192.168.43.122"",""157.240.208.60"",""TCP"",""54"",""57811  >  443 [ACK] Seq=1 Ack=219 Win=255 Len=0"""
"58,""7.511895"",""114.125.240.14"",""192.168.43.122"",""UDP"",""70"",""443  >  56769 Len=28"""
"59,""7.518664"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"60,""7.721665"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"61,""7.735250"",""114.125.240.14"",""192.168.43.122"",""UDP"",""166"",""443  >  56769 Len=124"""
"62,""7.735750"",""192.168.43.122"",""114.125.240.14"",""UDP"",""78"",""56769  >  443 Len=36"""
"63,""7.735975"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1287"",""443  >  56769 Len=1245"""
"64,""7.735975"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"65,""7.735975"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"66,""7.735975"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"67,""7.736946"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"68,""7.736946"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"69,""7.736946"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"70,""7.737591"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"71,""7.737591"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"72,""7.737591"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"73,""7.737847"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"74,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"75,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"76,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"77,""7.740738"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
