"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"1514,""84.780043"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""571"",""Client Hello"""
"1515,""84.821489"",""13.107.3.128"",""192.168.43.122"",""TCP"",""54"",""443  >  54500 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1516,""84.908850"",""13.107.3.128"",""192.168.43.122"",""TCP"",""1454"",""443  >  54500 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1517,""84.919789"",""13.107.3.128"",""192.168.43.122"",""TCP"",""1454"",""443  >  54500 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1518,""84.919875"",""192.168.43.122"",""13.107.3.128"",""TCP"",""54"",""54500  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0"""
"1519,""84.920266"",""13.107.3.128"",""192.168.43.122"",""TCP"",""1454"",""443  >  54500 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1520,""84.967776"",""192.168.43.122"",""13.107.3.128"",""TCP"",""54"",""54500  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0"""
"1521,""85.148581"",""13.107.3.128"",""192.168.43.122"",""TCP"",""1454"",""443  >  54500 [PSH, ACK] Seq=4201 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1522,""85.198480"",""192.168.43.122"",""13.107.3.128"",""TCP"",""54"",""54500  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0"""
"1523,""85.455733"",""13.107.3.128"",""192.168.43.122"",""TLSv1.2"",""925"",""Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"""
"1524,""85.471745"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""212"",""Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"""
"1525,""85.471972"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""153"",""Application Data"""
"1526,""85.472135"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""405"",""Application Data"""
"1527,""85.472178"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""1233"",""Application Data"""
"1528,""85.543229"",""13.107.3.128"",""192.168.43.122"",""TCP"",""54"",""443  >  54500 [ACK] Seq=6472 Ack=775 Win=4972 Len=0"""
"1529,""85.552126"",""13.107.3.128"",""192.168.43.122"",""TCP"",""54"",""443  >  54500 [ACK] Seq=6472 Ack=1126 Win=5324 Len=0"""
"1530,""85.558507"",""13.107.3.128"",""192.168.43.122"",""TCP"",""54"",""443  >  54500 [ACK] Seq=6472 Ack=2305 Win=6504 Len=0"""
"1531,""85.611612"",""13.107.3.128"",""192.168.43.122"",""TLSv1.2"",""380"",""New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"""
"1532,""85.659761"",""192.168.43.122"",""13.107.3.128"",""TCP"",""54"",""54500  >  443 [ACK] Seq=2305 Ack=6798 Win=64512 Len=0"""
"1533,""85.694794"",""13.107.3.128"",""192.168.43.122"",""TLSv1.2"",""161"",""Application Data, Application Data"""
"1534,""85.695254"",""192.168.43.122"",""13.107.3.128"",""TLSv1.2"",""92"",""Application Data"""
"1535,""85.741736"",""13.107.3.128"",""192.168.43.122"",""TCP"",""54"",""443  >  54500 [ACK] Seq=6905 Ack=2343 Win=6540 Len=0"""
"1536,""85.967257"",""13.107.3.128"",""192.168.43.122"",""TLSv1.2"",""1341"",""Application Data, Application Data"""
"1537,""85.984711"",""192.168.43.122"",""192.168.43.1"",""DNS"",""102"",""Standard query 0x70c4 A azwus2-client-s.gateway.messenger.live.com"""
"1538,""85.987460"",""192.168.43.122"",""192.168.43.1"",""DNS"",""77"",""Standard query 0x2947 A options.skype.com"""
"1539,""85.987474"",""192.168.43.122"",""192.168.43.1"",""DNS"",""79"",""Standard query 0xd22e A msgsearch.skype.com"""
"1540,""85.988972"",""192.168.43.122"",""192.168.43.1"",""DNS"",""93"",""Standard query 0xe40c A static-asm.secure.skypeassets.com"""
"1541,""85.989630"",""192.168.43.122"",""192.168.43.1"",""DNS"",""77"",""Standard query 0xb78b A api.aps.skype.com"""
"1542,""85.990975"",""192.168.43.122"",""192.168.43.1"",""DNS"",""90"",""Standard query 0xa140 A consumer.entitlement.skype.com"""
"1543,""86.018887"",""192.168.43.1"",""192.168.43.122"",""DNS"",""196"",""Standard query response 0x70c4 A azwus2-client-s.gateway.messenger.live.com CNAME azwus2-client-s.msnmessenger.msn.com.akadns.net CNAME ip.azwus2-client-s.msnmessenger.msn.com.akadns.net A 52.149.21.60"""
"1544,""86.019540"",""192.168.43.122"",""52.149.21.60"",""TCP"",""66"",""55577  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1545,""86.019659"",""192.168.43.122"",""13.107.3.128"",""TCP"",""54"",""54500  >  443 [ACK] Seq=2343 Ack=8192 Win=65792 Len=0"""
"1546,""86.019710"",""192.168.43.122"",""52.149.21.60"",""TCP"",""66"",""51834  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1547,""86.024798"",""192.168.43.1"",""192.168.43.122"",""DNS"",""182"",""Standard query response 0xb78b A api.aps.skype.com CNAME api-aps-teams.trafficmanager.net CNAME b-aps-asse-01-skype.cloudapp.net A 13.76.178.255"""
"1548,""86.025042"",""192.168.43.1"",""192.168.43.122"",""DNS"",""237"",""Standard query response 0xe40c A static-asm.secure.skypeassets.com CNAME 1180c.wpc.azureedge.net CNAME 1180c.ec.azureedge.net CNAME lb.apr-1180c.edgecastdns.net CNAME cs10.wpc.v0cdn.net A 192.229.232.200"""
"1549,""86.025200"",""192.168.43.1"",""192.168.43.122"",""DNS"",""187"",""Standard query response 0xa140 A consumer.entitlement.skype.com CNAME sconsentit9.trafficmanager.net CNAME sconsentit911.cloudapp.net A 40.114.211.99"""
"1550,""86.025692"",""192.168.43.122"",""192.229.232.200"",""TCP"",""66"",""52231  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1551,""86.025897"",""192.168.43.122"",""13.76.178.255"",""TCP"",""66"",""57606  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1552,""86.026000"",""192.168.43.122"",""40.114.211.99"",""TCP"",""66"",""61456  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1553,""86.033186"",""192.168.43.122"",""192.168.43.1"",""DNS"",""81"",""Standard query 0x9eb0 A world.relay.skype.com"""
"1554,""86.033687"",""192.168.43.122"",""192.168.43.1"",""DNS"",""90"",""Standard query 0x1e87 A worldaz.tr.teams.microsoft.com"""
"1555,""86.035710"",""192.168.43.122"",""192.168.43.1"",""DNS"",""99"",""Standard query 0x76ca AAAA trouter-azsc-asse-0-a.trouter.skype.com"""
"1556,""86.035874"",""192.168.43.122"",""192.168.43.1"",""DNS"",""99"",""Standard query 0xb21a A trouter-azsc-asse-0-a.trouter.skype.com"""
"1557,""86.037816"",""192.168.43.122"",""192.168.43.1"",""DNS"",""85"",""Standard query 0x1eac AAAA api.flightproxy.skype.com"""
"1558,""86.037816"",""192.168.43.122"",""192.168.43.1"",""DNS"",""85"",""Standard query 0x0c87 A api.flightproxy.skype.com"""
"1559,""86.038079"",""192.168.43.122"",""192.168.43.1"",""DNS"",""77"",""Standard query 0x1e75 A api3.cc.skype.com"""
"1560,""86.038747"",""192.168.43.122"",""192.168.43.1"",""DNS"",""77"",""Standard query 0xfa05 AAAA api3.cc.skype.com"""
"1561,""86.069692"",""52.149.21.60"",""192.168.43.122"",""TCP"",""66"",""443  >  51834 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1562,""86.069762"",""192.168.43.122"",""52.149.21.60"",""TCP"",""54"",""51834  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1563,""86.070070"",""192.168.43.122"",""52.149.21.60"",""TLSv1.2"",""571"",""Client Hello"""
"1564,""86.070205"",""13.76.178.255"",""192.168.43.122"",""TCP"",""66"",""443  >  57606 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1565,""86.070205"",""40.114.211.99"",""192.168.43.122"",""TCP"",""66"",""443  >  61456 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1566,""86.070205"",""192.229.232.200"",""192.168.43.122"",""TCP"",""66"",""443  >  52231 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1567,""86.070205"",""52.149.21.60"",""192.168.43.122"",""TCP"",""66"",""443  >  55577 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1568,""86.070354"",""192.168.43.122"",""13.76.178.255"",""TCP"",""54"",""57606  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1569,""86.070377"",""192.168.43.122"",""40.114.211.99"",""TCP"",""54"",""61456  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1570,""86.070387"",""192.168.43.122"",""192.229.232.200"",""TCP"",""54"",""52231  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1571,""86.070395"",""192.168.43.122"",""52.149.21.60"",""TCP"",""54"",""55577  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1572,""86.070807"",""192.168.43.122"",""52.149.21.60"",""TLSv1.2"",""571"",""Client Hello"""
"1573,""86.071063"",""192.168.43.122"",""192.229.232.200"",""TLSv1.3"",""571"",""Client Hello"""
"1574,""86.071290"",""192.168.43.122"",""40.114.211.99"",""TLSv1.2"",""571"",""Client Hello"""
"1575,""86.071487"",""192.168.43.122"",""13.76.178.255"",""TLSv1.2"",""571"",""Client Hello"""
"1576,""86.074976"",""192.168.43.1"",""192.168.43.122"",""DNS"",""186"",""Standard query response 0xd22e A msgsearch.skype.com CNAME prod.msgsearch.trafficmanager.net CNAME sa2-prod-msgsearch-1.cloudapp.net A 13.76.154.96"""
"1577,""86.075552"",""192.168.43.122"",""13.76.154.96"",""TCP"",""66"",""60484  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1578,""86.105690"",""13.76.154.96"",""192.168.43.122"",""TCP"",""66"",""443  >  60484 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1579,""86.105690"",""192.168.43.1"",""192.168.43.122"",""DNS"",""175"",""Standard query response 0x76ca AAAA trouter-azsc-asse-0-a.trouter.skype.com CNAME trouter-azsc-asse-0-a.cloudapp.net AAAA 2a01:111:f100:7000::6fdd:5590"""
"1580,""86.105690"",""192.168.43.1"",""192.168.43.122"",""DNS"",""163"",""Standard query response 0xb21a A trouter-azsc-asse-0-a.trouter.skype.com CNAME trouter-azsc-asse-0-a.cloudapp.net A 52.163.231.110"""
"1581,""86.105690"",""192.168.43.1"",""192.168.43.122"",""DNS"",""261"",""Standard query response 0x1eac AAAA api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-jpea-01-skype.cloudapp.net SOA ns1-201.azure-dns.com"""
"1582,""86.105786"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""60484  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1583,""86.106242"",""192.168.43.122"",""13.76.154.96"",""TLSv1.2"",""571"",""Client Hello"""
"1584,""86.106310"",""192.168.43.122"",""52.163.231.110"",""TCP"",""66"",""60485  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1585,""86.109614"",""40.114.211.99"",""192.168.43.122"",""TCP"",""54"",""443  >  61456 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1586,""86.109791"",""13.76.178.255"",""192.168.43.122"",""TCP"",""54"",""443  >  57606 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1587,""86.109791"",""52.149.21.60"",""192.168.43.122"",""TCP"",""54"",""443  >  51834 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1588,""86.109791"",""52.149.21.60"",""192.168.43.122"",""TCP"",""54"",""443  >  55577 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1589,""86.109791"",""192.229.232.200"",""192.168.43.122"",""TCP"",""54"",""443  >  52231 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1590,""86.110224"",""192.168.43.1"",""192.168.43.122"",""DNS"",""234"",""Standard query response 0xfa05 AAAA api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-asse-07-skype.cloudapp.net SOA ns1-201.azure-dns.com"""
"1591,""86.125997"",""192.229.232.200"",""192.168.43.122"",""TLSv1.3"",""153"",""Hello Retry Request, Change Cipher Spec"""
"1592,""86.126104"",""192.168.43.1"",""192.168.43.122"",""DNS"",""203"",""Standard query response 0x2947 A options.skype.com CNAME skype-options-prod.trafficmanager.net CNAME optionsservice-prod-southeastasia-a.cloudapp.net A 168.63.232.54"""
"1593,""86.126573"",""192.168.43.1"",""192.168.43.122"",""DNS"",""217"",""Standard query response 0x1e87 A worldaz.tr.teams.microsoft.com CNAME worldaz.tr.teams.trafficmanager.net CNAME b-tr-teasc-asse-02.southeastasia.cloudapp.azure.com A 52.114.54.194"""
"1594,""86.129154"",""192.168.43.122"",""192.229.232.200"",""TLSv1.3"",""577"",""Change Cipher Spec, Client Hello"""
"1595,""86.129419"",""192.168.43.122"",""168.63.232.54"",""TCP"",""66"",""53950  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1596,""86.129942"",""192.168.43.1"",""192.168.43.122"",""DNS"",""210"",""Standard query response 0x9eb0 A world.relay.skype.com CNAME worldaz.relay.skype.trafficmanager.net CNAME b-tr-skysc-incn-01.centralindia.cloudapp.azure.com A 20.202.41.38"""
"1597,""86.137645"",""13.76.154.96"",""192.168.43.122"",""TCP"",""54"",""443  >  60484 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1598,""86.137814"",""52.163.231.110"",""192.168.43.122"",""TCP"",""66"",""443  >  60485 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1599,""86.137814"",""192.168.43.1"",""192.168.43.122"",""DNS"",""179"",""Standard query response 0x1e75 A api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-jpea-09-skype.cloudapp.net A 52.114.32.37"""
"1600,""86.137904"",""192.168.43.122"",""52.163.231.110"",""TCP"",""54"",""60485  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1601,""86.138093"",""192.168.43.1"",""192.168.43.122"",""DNS"",""206"",""Standard query response 0x0c87 A api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-asse-01-skype.cloudapp.net A 207.46.230.115"""
"1602,""86.139110"",""192.168.43.122"",""52.163.231.110"",""TLSv1.2"",""255"",""Client Hello"""
"1603,""86.185683"",""13.76.178.255"",""192.168.43.122"",""TCP"",""1454"",""443  >  57606 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1604,""86.238123"",""192.168.43.122"",""13.76.178.255"",""TCP"",""54"",""57606  >  443 [ACK] Seq=518 Ack=1401 Win=65792 Len=0"""
"1605,""86.238650"",""192.168.43.122"",""168.63.232.54"",""TCP"",""66"",""50750  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1606,""86.283189"",""168.63.232.54"",""192.168.43.122"",""TCP"",""66"",""443  >  53950 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1607,""86.283288"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""53950  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1608,""86.283632"",""13.76.178.255"",""192.168.43.122"",""TCP"",""1454"",""443  >  57606 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1609,""86.283632"",""52.163.231.110"",""192.168.43.122"",""TCP"",""54"",""443  >  60485 [ACK] Seq=1 Ack=202 Win=4400 Len=0"""
"1610,""86.283632"",""13.76.178.255"",""192.168.43.122"",""TCP"",""1454"",""443  >  57606 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1611,""86.283632"",""192.229.232.200"",""192.168.43.122"",""TCP"",""54"",""443  >  52231 [ACK] Seq=100 Ack=1041 Win=5240 Len=0"""
"1612,""86.283660"",""192.168.43.122"",""168.63.232.54"",""TLSv1.2"",""571"",""Client Hello"""
"1613,""86.283693"",""192.168.43.122"",""13.76.178.255"",""TCP"",""54"",""57606  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0"""
"1614,""86.284953"",""192.229.232.200"",""192.168.43.122"",""TLSv1.3"",""1454"",""Server Hello, Application Data"""
"1615,""86.285180"",""192.229.232.200"",""192.168.43.122"",""TCP"",""1454"",""443  >  52231 [PSH, ACK] Seq=1500 Ack=1041 Win=5240 Len=1400 [TCP segment of a reassembled PDU]"""
"1616,""86.285223"",""192.168.43.122"",""192.229.232.200"",""TCP"",""54"",""52231  >  443 [ACK] Seq=1041 Ack=2900 Win=65792 Len=0"""
"1617,""86.286882"",""192.229.232.200"",""192.168.43.122"",""TCP"",""1350"",""443  >  52231 [PSH, ACK] Seq=2900 Ack=1041 Win=5240 Len=1296 [TCP segment of a reassembled PDU]"""
"1618,""86.287777"",""192.229.232.200"",""192.168.43.122"",""TCP"",""1454"",""443  >  52231 [PSH, ACK] Seq=4196 Ack=1041 Win=5240 Len=1400 [TCP segment of a reassembled PDU]"""
"1619,""86.287797"",""192.168.43.122"",""192.229.232.200"",""TCP"",""54"",""52231  >  443 [ACK] Seq=1041 Ack=5596 Win=65792 Len=0"""
"1620,""86.288784"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  60484 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1621,""86.290625"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  60484 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1622,""86.290662"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""60484  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0"""
"1623,""86.292215"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  60484 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1624,""86.292726"",""192.168.43.122"",""13.76.154.96"",""TCP"",""66"",""49672  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"""
"1625,""86.293843"",""52.163.231.110"",""192.168.43.122"",""TCP"",""1454"",""443  >  60485 [ACK] Seq=1 Ack=202 Win=4400 Len=1400 [TCP segment of a reassembled PDU]"""
"1626,""86.306054"",""52.163.231.110"",""192.168.43.122"",""TCP"",""1454"",""443  >  60485 [PSH, ACK] Seq=1401 Ack=202 Win=4400 Len=1400 [TCP segment of a reassembled PDU]"""
"1627,""86.306132"",""192.168.43.122"",""52.163.231.110"",""TCP"",""54"",""60485  >  443 [ACK] Seq=202 Ack=2801 Win=65792 Len=0"""
"1628,""86.325970"",""52.163.231.110"",""192.168.43.122"",""TLSv1.2"",""1183"",""Server Hello, Certificate, Server Key Exchange, Server Hello Done"""
"1629,""86.328741"",""13.76.178.255"",""192.168.43.122"",""TCP"",""1454"",""443  >  57606 [PSH, ACK] Seq=4201 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1630,""86.328741"",""168.63.232.54"",""192.168.43.122"",""TCP"",""66"",""443  >  50750 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1631,""86.328838"",""192.168.43.122"",""52.163.231.110"",""TLSv1.2"",""212"",""Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"""
"1632,""86.328854"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""50750  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1633,""86.329260"",""192.168.43.122"",""168.63.232.54"",""TLSv1.2"",""571"",""Client Hello"""
"1634,""86.340879"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""60484  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0"""
"1635,""86.353386"",""192.229.232.200"",""192.168.43.122"",""TCP"",""1454"",""443  >  52231 [PSH, ACK] Seq=5596 Ack=1041 Win=5240 Len=1400 [TCP segment of a reassembled PDU]"""
"1636,""86.354911"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  60484 [PSH, ACK] Seq=4201 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1637,""86.354911"",""192.229.232.200"",""192.168.43.122"",""TLSv1.3"",""593"",""Application Data, Application Data, Application Data"""
"1638,""86.354911"",""13.76.154.96"",""192.168.43.122"",""TCP"",""66"",""443  >  49672 [SYN, ACK] Seq=0 Ack=1 Win=4200 Len=0 MSS=1400 WS=4 SACK_PERM=1"""
"1639,""86.354911"",""168.63.232.54"",""192.168.43.122"",""TCP"",""54"",""443  >  53950 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1640,""86.355002"",""192.168.43.122"",""192.229.232.200"",""TCP"",""54"",""52231  >  443 [ACK] Seq=1041 Ack=7535 Win=65792 Len=0"""
"1641,""86.355149"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""49672  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"""
"1642,""86.356161"",""192.168.43.122"",""13.76.154.96"",""TLSv1.2"",""571"",""Client Hello"""
"1643,""86.364075"",""192.168.43.122"",""192.229.232.200"",""TLSv1.3"",""128"",""Application Data"""
"1644,""86.364332"",""192.168.43.122"",""192.229.232.200"",""TLSv1.3"",""146"",""Application Data"""
"1645,""86.364466"",""192.168.43.122"",""192.229.232.200"",""TLSv1.3"",""400"",""Application Data"""
"1646,""86.368408"",""192.168.43.122"",""13.76.178.255"",""TCP"",""54"",""57606  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0"""
"1647,""86.374641"",""52.163.231.110"",""192.168.43.122"",""TCP"",""54"",""443  >  60485 [ACK] Seq=3930 Ack=360 Win=4556 Len=0"""
"1648,""86.398115"",""168.63.232.54"",""192.168.43.122"",""TCP"",""54"",""443  >  50750 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1649,""86.398121"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""60484  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0"""
"1650,""86.432218"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  53950 [PSH, ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1651,""86.474136"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""53950  >  443 [ACK] Seq=518 Ack=1401 Win=65792 Len=0"""
"1652,""86.490794"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  53950 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1653,""86.491244"",""13.76.178.255"",""192.168.43.122"",""TLSv1.2"",""123"",""Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"""
"1654,""86.491244"",""52.163.231.110"",""192.168.43.122"",""TLSv1.2"",""105"",""Change Cipher Spec, Encrypted Handshake Message"""
"1655,""86.491244"",""192.229.232.200"",""192.168.43.122"",""TCP"",""54"",""443  >  52231 [ACK] Seq=7535 Ack=1553 Win=5752 Len=0"""
"1656,""86.491244"",""13.76.154.96"",""192.168.43.122"",""TCP"",""54"",""443  >  49672 [ACK] Seq=1 Ack=518 Win=4716 Len=0"""
"1657,""86.491244"",""192.229.232.200"",""192.168.43.122"",""TLSv1.3"",""309"",""Application Data"""
"1658,""86.491244"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  53950 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1659,""86.491373"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""53950  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0"""
"1660,""86.493258"",""192.168.43.122"",""52.163.231.110"",""TLSv1.2"",""1436"",""Application Data"""
"1661,""86.494415"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  50750 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1662,""86.499936"",""192.168.43.122"",""13.76.178.255"",""TLSv1.2"",""212"",""Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"""
"1663,""86.500229"",""192.168.43.122"",""13.76.178.255"",""TLSv1.2"",""153"",""Application Data"""
"1664,""86.500430"",""192.168.43.122"",""13.76.178.255"",""TLSv1.2"",""1157"",""Application Data"""
"1665,""86.540203"",""192.168.43.122"",""192.229.232.200"",""TCP"",""54"",""52231  >  443 [ACK] Seq=1553 Ack=7790 Win=65536 Len=0"""
"1666,""86.540275"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  50750 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1667,""86.540275"",""168.63.232.54"",""192.168.43.122"",""TCP"",""1454"",""443  >  50750 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1668,""86.540275"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  49672 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1669,""86.540275"",""13.76.154.96"",""192.168.43.122"",""TCP"",""1454"",""443  >  49672 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1670,""86.540281"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""50750  >  443 [ACK] Seq=518 Ack=1401 Win=65792 Len=0"""
"1671,""86.540363"",""192.168.43.122"",""168.63.232.54"",""TCP"",""54"",""50750  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0"""
"1672,""86.540395"",""192.168.43.122"",""13.76.154.96"",""TCP"",""54"",""49672  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0"""
"1673,""86.570150"",""40.114.211.99"",""192.168.43.122"",""TCP"",""1454"",""443  >  61456 [ACK] Seq=1 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1674,""86.570979"",""40.114.211.99"",""192.168.43.122"",""TCP"",""1454"",""443  >  61456 [ACK] Seq=1401 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1675,""86.570979"",""40.114.211.99"",""192.168.43.122"",""TCP"",""1454"",""443  >  61456 [PSH, ACK] Seq=2801 Ack=518 Win=4716 Len=1400 [TCP segment of a reassembled PDU]"""
"1676,""86.570979"",""13.76.154.96"",""192.168.43.122"",""TLSv1.2"",""153"",""Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"""
